Biomarker,Importance
ITGBL1.1,0.0031790515777332874
KCNK6,0.0027194462669802282
FOXS1,0.0024932951991566
ASPM.1,0.002304920834711907
NEIL3,0.002219980889595411
hsa-mir-1274b,0.00205387241960108
SKA2,0.0020302200652281503
COL11A1.1,0.0018208010329736125
XKR9.1,0.0018075460234072993
BTBD11.1,0.0017836357992837165
TRIP13,0.001747414788701484
POP5.1,0.0016902102377868006
UBE2V2,0.0016586456654313936
CENPE.1,0.0016390640804093764
EPR1,0.001614735656140581
KIF18B.1,0.0016118856221158564
SV2C.1,0.0016110417953729113
PRR23B.1,0.00159568547289596
PRND,0.001586033944337995
ADAMTS15.1,0.0015802588757873504
